A1,A2,A4,A3,test@test.com
A1,A2,A4,A3,A5,han.solo@milleniumfalcon.com
A5,A2,A4,A3,A1,test@test.com
A1,A2,A3,A4,A5,A6,A7,palpatine@council.org
A5,A4,A3,A2,A1,rey@tatooine.com
A1,A2,A3,A4,A5,lando.calrissian@bespincloudcity.com
A1,A3,A2,A5,A4,luke.skywalker@tatooine.com
A1,A2,A3,A5,darth.vader@darkside.net
A1,A2,A4,A3,A5,test@test.com
A1,A2,A3,A4,A5,A6,A7,palpatine@council.org
A4,mace.windu@force.net
A1,A2,A4,A3,A5,han.solo@milleniumfalcon.com
A1,A2,A3,A4,A5,A6,A7,palptine@council.org
A1,A2,A4,A3,A5,test@test.com
A1,A6,A4,A3,A5,test@test.com
